%angle (º)
%North West South East North West South East
0 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
5 0.988 0.990 0.997 0.993 0.992 0.994 1.000 0.997
10 0.970 0.977 0.988 0.981 0.985 0.992 1.003 0.996
15 0.945 0.959 0.965 0.958 0.978 0.992 0.999 0.992
20 0.915 0.926 0.935 0.926 0.974 0.985 0.995 0.985
25 0.874 0.888 0.896 0.889 0.965 0.979 0.988 0.981
30 0.824 0.840 0.851 0.843 0.952 0.970 0.982 0.973
35 0.769 0.789 0.794 0.792 0.938 0.964 0.970 0.967
40 0.704 0.733 0.736 0.729 0.919 0.956 0.961 0.952
45 0.639 0.668 0.671 0.666 0.903 0.944 0.949 0.942
50 0.570 0.600 0.603 0.596 0.887 0.934 0.937 0.928
55 0.494 0.526 0.533 0.520 0.862 0.918 0.929 0.907
60 0.417 0.450 0.460 0.442 0.835 0.900 0.919 0.884
65 0.337 0.366 0.376 0.362 0.798 0.867 0.891 0.857
70 0.260 0.286 0.296 0.280 0.760 0.837 0.865 0.820
75 0.182 0.205 0.212 0.197 0.702 0.792 0.819 0.761
80 0.109 0.123 0.130 0.115 0.630 0.707 0.749 0.660
85 0.048 0.049 0.057 0.043 0.555 0.566 0.652 0.498
