-85 0.079 0.13
-80 0.117 0.187
-75 0.166 0.258
-70 0.218 0.325
-65 0.27 0.388
-60 0.33 0.453
-55 0.391 0.518
-50 0.454 0.583
-45 0.522 0.647
-40 0.593 0.712
-35 0.663 0.771
-30 0.727 0.829
-25 0.789 0.874
-20 0.847 0.914
-15 0.896 0.948
-10 0.933 0.972
-5 0.97 0.988
0 1 1
5 1.018 0.996
10 1.032 0.984
15 1.029 0.966
20 1.029 0.95
25 1.011 0.916
30 0.99 0.879
35 0.957 0.828
40 0.913 0.775
45 0.862 0.72
50 0.802 0.656
55 0.738 0.592
60 0.675 0.521
65 0.599 0.454
70 0.506 0.38
75 0.39 0.292
80 0.274 0.206
85 0.172 0.133
