%Zenith
%angle (º)
%North West South East North West South East
0 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
5 0.987 0.995 0.992 0.993 0.991 0.998 0.996 0.997
10 0.978 0.978 0.977 0.984 0.993 0.994 0.992 0.999
15 0.958 0.960 0.953 0.961 0.992 0.994 0.987 0.995
20 0.928 0.930 0.920 0.933 0.988 0.990 0.979 0.993
25 0.890 0.893 0.886 0.899 0.982 0.985 0.978 0.992
30 0.842 0.847 0.841 0.859 0.972 0.978 0.971 0.992
35 0.791 0.793 0.792 0.810 0.965 0.968 0.967 0.989
40 0.731 0.733 0.733 0.753 0.955 0.956 0.957 0.983
45 0.668 0.671 0.669 0.689 0.944 0.948 0.946 0.975
50 0.599 0.604 0.600 0.621 0.932 0.940 0.933 0.966
55 0.525 0.530 0.525 0.549 0.916 0.924 0.915 0.956
60 0.449 0.451 0.450 0.473 0.898 0.902 0.900 0.946
65 0.367 0.370 0.370 0.392 0.867 0.875 0.876 0.927
70 0.286 0.287 0.289 0.307 0.835 0.838 0.844 0.898
75 0.204 0.203 0.204 0.221 0.787 0.785 0.787 0.853
80 0.125 0.120 0.123 0.134 0.719 0.690 0.706 0.772
85 0.056 0.048 0.053 0.057 0.641 0.553 0.605 0.655
